ID,Choice,Tcost,Urban,Walleye,Salmon,Panfish
1,0,56.35338,0,0.6906261,0,1.128466
1,0,42.00253,1,0.7140083,0,1.390976
1,0,57.70338,1,0.7556086,0,1.279361
1,1,38.57982,1,0.5879535,0,1.246248
1,0,20.77627,0,0.1894172,0,1.765068
1,0,91.05778,0,0.0346533,0.0208933,2.305171
1,0,80.33965,0,0.0023445,0.3489647,0.1836469
1,0,76.49693,0,0.0016101,0.3067525,0.0355202
1,0,84.45235,1,0.0008522,0.3292299,0.0502169
1,0,73.70422,0,0.8285007,0,0.5015054
2,0,70.52862,0,0.6906261,0,1.128466
2,0,76.64539,1,0.7140083,0,1.390976
2,0,51.73477,1,0.7556086,0,1.279361
2,1,68.25185,1,0.5879535,0,1.246248
2,0,86.44569,0,0.1894172,0,1.765068
2,0,140.7337,0,0.0346533,0.0208933,2.305171
2,0,129.4934,0,0.0023445,0.3489647,0.1836469
2,0,123.9766,0,0.0016101,0.3067525,0.0355202
2,0,104.5195,1,0.0008522,0.3292299,0.0502169
2,0,80.27539,0,0.8285007,0,0.5015054
3,0,36.9024,0,0.6906261,0,1.128466
3,0,20.308,1,0.7140083,0,1.390976
3,0,46.3096,1,0.7556086,0,1.279361
3,0,23.9016,1,0.5879535,0,1.246248
3,1,28.5152,0,0.1894172,0,1.765068
3,0,76.6548,0,0.0346533,0.0208933,2.305171
3,0,64.254,0,0.0023445,0.3489647,0.1836469
3,0,62.724,0,0.0016101,0.3067525,0.0355202
3,0,68.9276,1,0.0008522,0.3292299,0.0502169
3,0,106.0336,0,0.8285007,0,0.5015054
4,0,36.9024,0,0.6906261,0,1.128466
4,0,20.308,1,0.7140083,0,1.390976
4,0,46.3096,1,0.7556086,0,1.279361
4,0,23.9016,1,0.5879535,0,1.246248
4,1,28.5152,0,0.1894172,0,1.765068
4,0,76.6548,0,0.0346533,0.0208933,2.305171
4,0,64.254,0,0.0023445,0.3489647,0.1836469
4,0,62.724,0,0.0016101,0.3067525,0.0355202
4,0,68.9276,1,0.0008522,0.3292299,0.0502169
4,0,106.0336,0,0.8285007,0,0.5015054
5,0,36.9024,0,0.6906261,0,1.128466
5,0,20.308,1,0.7140083,0,1.390976
5,0,46.3096,1,0.7556086,0,1.279361
5,0,23.9016,1,0.5879535,0,1.246248
